,Country,HDI,Total Population (millions) 2015,Total Population (millions) 2030,Life expectancy,Gross national income (GNI) per capita,Inequality in income (%),Mean years of schooling,Mean years of schooling Female,Mean years of schooling Male,Inequality in education(%),Average annual HDI growth 1990-2000,Average annual HDI growth 2000-2010,Average annual HDI growth 2010-2015,Average annual HDI growth 1990-2015
68,Iran (Islamic Republic of),0.774,79.0999984741,88.5,75.6,16395.0,46.6,8.8,8.5,9.1,37.3,1.53,1.12,0.78,1.22
69,Georgia,0.769,4.0,3.9000000954000003,75.0,8856.0,24.1,12.2,12.3,12.2,2.2,,0.99,0.72,
70,Turkey,0.767,78.6999969482,87.6999969482,75.5,18705.0,21.8,7.9,7.0,8.8,14.2,1.26,1.22,0.81,1.15
71,Venezuela (Bolivarian Republic of),0.767,31.1000003815,36.7000007629,74.4,15129.0,28.4,9.4,9.7,9.0,17.6,0.58,1.18,0.29,0.76
72,Sri Lanka,0.7659999999999999,20.7000007629,21.5,75.0,10789.0,13.7,10.9,10.3,11.4,12.8,0.92,0.84,0.56,0.82
73,Saint Kitts and Nevis,0.765,0.1000000015,0.1000000015,74.0,22436.0,,8.4,,,,,,0.64,
74,Albania,0.764,2.9000000954000003,3.0,78.0,10252.0,18.3,9.6,9.5,9.8,11.9,0.41,1.1,0.7,0.74
75,Lebanon,0.763,5.900000095399999,5.3000001907,79.5,13312.0,30.0,8.6,8.3,8.7,24.1,,,0.14,
76,Mexico,0.762,127.0,148.1000061035,77.0,16383.0,34.3,8.6,8.2,8.6,19.7,0.77,0.63,0.44,0.65
77,Azerbaijan,0.759,9.8000001907,10.6999998093,70.9,16413.0,8.9,11.2,10.3,12.0,8.3,,1.43,0.48,
78,Brazil,0.754,207.8000030518,228.6999969482,74.7,14145.0,37.8,7.8,8.1,7.5,22.6,1.15,0.55,0.83,0.85
79,Grenada,0.754,0.1000000015,0.1000000015,73.6,11502.0,,8.6,,,,,,0.33,
80,Bosnia and Herzegovina,0.75,3.7999999523000003,3.5999999045999997,76.6,10091.0,20.2,9.0,7.8,10.6,12.5,,,1.07,
81,The former Yugoslav Republic of Macedonia,0.748,2.0999999046,2.0999999046,75.5,12405.0,30.1,9.4,8.9,9.8,10.6,,,0.35,
82,Algeria,0.745,39.7000007629,48.2999992371,75.0,13533.0,,7.8,6.6,8.5,,1.11,1.18,0.56,1.03
83,Armenia,0.743,3.0,3.0,74.9,8189.0,13.9,11.3,11.3,11.3,3.7,0.16,1.24,0.39,0.64
84,Ukraine,0.743,44.7999992371,40.9000015259,71.1,7361.0,9.2,11.3,11.3,11.3,3.6,-0.48,0.87,0.25,0.21
85,Jordan,0.741,7.599999904600001,9.1000003815,74.2,10111.0,20.5,10.1,9.7,10.7,16.9,1.31,0.43,0.13,0.72
86,Peru,0.74,31.3999996185,36.9000015259,74.8,11295.0,29.5,9.0,8.4,9.5,20.3,1.01,0.63,0.53,0.76
87,Thailand,0.74,68.0,68.3000030518,74.6,14519.0,34.0,7.9,7.7,8.2,16.1,1.25,1.03,0.56,1.02
88,Ecuador,0.7390000000000001,16.1000003815,19.6000003815,76.1,10536.0,30.1,8.3,8.2,8.4,15.5,0.41,0.58,0.83,0.56
89,China,0.738,1376.0,1415.5,76.0,13345.0,29.5,7.6,7.2,7.9,,1.72,1.7,1.05,1.57
90,Fiji,0.736,0.8999999762,0.8999999762,70.2,8245.0,22.6,10.5,10.9,10.2,10.5,0.64,0.37,0.75,0.56
91,Mongolia,0.735,3.0,3.5,69.8,10449.0,12.3,9.8,10.0,9.5,9.4,0.17,1.77,0.94,0.96
92,Saint Lucia,0.735,0.200000003,0.200000003,75.2,9791.0,27.4,9.3,9.4,9.3,9.2,,0.69,0.06,
93,Jamaica,0.73,2.7999999523000003,2.9000000954000003,75.8,8350.0,30.1,9.6,9.7,9.6,5.6,0.44,0.6,0.22,0.46
94,Colombia,0.727,48.2000007629,53.2000007629,74.2,12762.0,39.4,7.6,7.6,7.5,17.4,0.99,0.7,0.76,0.83
95,Dominica,0.726,0.1000000015,0.1000000015,77.9,10096.0,,7.9,,,,,0.38,0.13,
96,Suriname,0.725,0.5,0.6000000238000001,71.3,16018.0,37.3,8.3,8.2,8.5,19.0,,,0.58,
97,Tunisia,0.725,11.300000190699999,12.699999809300001,75.0,10249.0,18.9,7.1,6.7,7.8,34.6,1.4,0.88,0.29,0.97
98,Dominican Republic,0.722,10.5,12.100000381500001,73.7,12756.0,28.1,7.7,7.9,7.5,19.9,0.96,0.69,0.54,0.77
99,Saint Vincent and the Grenadines,0.722,0.1000000015,0.1000000015,73.0,10372.0,,8.6,,,,,0.55,0.28,
